ID,Title,Description,PageCount,Excerpt,PublishDate
1,Book  1,Book Number 1,100,excerpt article 1,2022-06-29T19:25:00.000Z
2,Book  2,Book Number 2,101,excerpt article 2,2022-06-29T19:25:00.000Z
3,Book  3,Book Number 3,102,excerpt article 3,2022-06-29T19:25:00.000Z
4,Book  4,Book Number 4,103,excerpt article 4,2022-06-29T19:25:00.000Z
5,Book  5,Book Number 5,104,excerpt article 5,2022-06-29T19:25:00.000Z
6,Book  6,Book Number 6,105,excerpt article 6,2022-06-29T19:25:00.000Z
7,Book  7,Book Number 7,106,excerpt article 7,2022-06-29T19:25:00.000Z
8,Book  8,Book Number 8,107,excerpt article 8,2022-06-29T19:25:00.000Z
9,Book  9,Book Number 9,108,excerpt article 9,2022-06-29T19:25:00.000Z
10,Book  10,Book Number 10,109,excerpt article 10,2022-06-29T19:25:00.000Z
